much	negative:-4.9485655646877005	positive:-4.9126872770227985
Mountain	negative:-10.323282824952447	positive:-8.713844912518347
conducts	negative:-9.630069924098052	positive:-9.630069924098052
special.	negative:-10.323184242891017	positive:-9.630037062331072
heart-warming	negative:-10.323282824952447	positive:-8.713844912518347
Brokeback	negative:-10.323184242891017	positive:-9.630037062331072
Batman	negative:-10.323217104657997	positive:-9.224604815989887
Wood	negative:-8.531621928068358	positive:-9.224769108628303
entering	negative:-8.937021322360168	positive:-9.22470339481195
illuminated	negative:-10.323184242891017	positive:-9.630037062331072
Elijah	negative:-9.630102784785171	positive:-9.224637676677007
Corpse	negative:-10.323184242891017	positive:-9.630037062331072
Violence	negative:-9.630069924098052	positive:-9.630069924098052
Illuminated	negative:-10.323249965345116	positive:-8.936955604225226
Begins	negative:-10.323184242891017	positive:-9.630037062331072
Ukraine	negative:-9.630168502920114	positive:-8.71387777104596
2005	negative:-9.630135644392501	positive:-8.936988463832558
TOP	negative:-10.323184242891017	positive:-9.630037062331072
A.K.A-	negative:-10.323184242891017	positive:-9.630037062331072
Hook	negative:-10.323184242891017	positive:-9.630037062331072
TOO	negative:-10.323217104657997	positive:-9.224604815989887
spectacular.	negative:-10.323184242891017	positive:-9.630037062331072
good.I	negative:-10.323184242891017	positive:-9.630037062331072
OVERALL	negative:-10.323184242891017	positive:-9.630037062331072
knocking	negative:-9.630069924098052	positive:-9.630069924098052
honeymooners	negative:-10.323184242891017	positive:-9.630037062331072
dissapointing	negative:-10.323184242891017	positive:-9.630037062331072
NOTCH	negative:-10.323184242891017	positive:-9.630037062331072
dissapointed	negative:-10.323184242891017	positive:-9.630037062331072
sense.I	negative:-10.323184242891017	positive:-9.630037062331072
definantley	negative:-10.323184242891017	positive:-9.630037062331072
DIDNT	negative:-10.323184242891017	positive:-9.630037062331072
youre	negative:-10.323184242891017	positive:-9.630037062331072
Chat	negative:-10.323184242891017	positive:-9.630037062331072
EXTREME.Although	negative:-10.323184242891017	positive:-9.630037062331072
Campfire	negative:-10.323184242891017	positive:-9.630037062331072
Acceptable	negative:-10.323184242891017	positive:-9.630037062331072
intruiging	negative:-10.323184242891017	positive:-9.630037062331072
gory.Liked	negative:-10.323184242891017	positive:-9.630037062331072
un-expected.Watch	negative:-10.323184242891017	positive:-9.630037062331072
watch.Real	negative:-10.323184242891017	positive:-9.630037062331072
scare-o-meter.	negative:-10.323184242891017	positive:-9.630037062331072
R.V	negative:-10.323184242891017	positive:-9.630037062331072
tale.This	negative:-10.323184242891017	positive:-9.630037062331072
ghastly	negative:-9.630102784785171	positive:-9.224637676677007
idea.	negative:-9.630069924098052	positive:-9.630069924098052
MAKE	negative:-9.630102784785171	positive:-9.224637676677007
SENSE	negative:-10.323184242891017	positive:-9.630037062331072
scenes.Yet	negative:-10.323184242891017	positive:-9.630037062331072
Girl	negative:-8.713943484862313	positive:-8.937087036176523
through-out	negative:-9.630069924098052	positive:-9.630069924098052
tales	negative:-10.323249965345116	positive:-8.936955604225226
WHo	negative:-10.323184242891017	positive:-9.630037062331072
Tales	negative:-9.224670536284338	positive:-9.224670536284338
frights	negative:-10.323184242891017	positive:-9.630037062331072
kisses	negative:-10.323184242891017	positive:-9.630037062331072
.It	negative:-9.630069924098052	positive:-9.630069924098052
bout	negative:-10.323184242891017	positive:-9.630037062331072
didnt	negative:-9.630102784785171	positive:-9.224637676677007
segment.Here	negative:-10.323184242891017	positive:-9.630037062331072
representative	negative:-9.630069924098052	positive:-9.630069924098052
Menerith	negative:-9.630037062331072	positive:-10.323184242891017
Hallmark-film	negative:-9.630037062331072	positive:-10.323184242891017
butcher	negative:-9.630069924098052	positive:-9.630069924098052
Exodus	negative:-9.224604815989887	positive:-10.323217104657997
Hallmark-made	negative:-9.630037062331072	positive:-10.323184242891017
22:18-19	negative:-9.630037062331072	positive:-10.323184242891017
presentation.	negative:-9.224604815989887	positive:-10.323217104657997
Revelation	negative:-9.630069924098052	positive:-9.630069924098052
eliminated	negative:-9.630069924098052	positive:-9.630069924098052
Church	negative:-8.936988463832558	positive:-9.630135644392501
Biblical	negative:-9.630037062331072	positive:-10.323184242891017
Noah	negative:-9.224604815989887	positive:-10.323217104657997
ironing	negative:-9.630037062331072	positive:-10.323184242891017
fran	negative:-9.630037062331072	positive:-10.323184242891017
intellect	negative:-9.630069924098052	positive:-9.630069924098052
rick	negative:-9.630037062331072	positive:-10.323184242891017
betwen	negative:-9.630037062331072	positive:-10.323184242891017
Whitthorne	negative:-9.630037062331072	positive:-10.323184242891017
hinted	negative:-9.224604815989887	positive:-10.323217104657997
Dourif	negative:-9.630037062331072	positive:-10.323184242891017
Bassett	negative:-9.630037062331072	positive:-10.323184242891017
homo-esque	negative:-9.630037062331072	positive:-10.323184242891017
overplayed	negative:-9.630037062331072	positive:-10.323184242891017
route	negative:-8.71387777104596	positive:-9.630168502920114
tire	negative:-8.936955604225226	positive:-10.323249965345116
punch	negative:-9.224736252259914	positive:-8.713910628493924
pointless.	negative:-9.630037062331072	positive:-10.323184242891017
inmates	negative:-9.224670536284338	positive:-9.224670536284338
television.	negative:-9.630069924098052	positive:-9.630069924098052
photographer	negative:-8.937021322360168	positive:-9.22470339481195
accommodations	negative:-9.630037062331072	positive:-10.323184242891017
short-cut	negative:-9.630037062331072	positive:-10.323184242891017
less-than-intelligent	negative:-9.630037062331072	positive:-10.323184242891017
Thinking	negative:-8.936955604225226	positive:-10.323249965345116
in-bred	negative:-9.630037062331072	positive:-10.323184242891017
ANOTHER	negative:-9.630037062331072	positive:-10.323184242891017
refuge	negative:-9.630069924098052	positive:-9.630069924098052
lunatic	negative:-8.936955604225226	positive:-10.323249965345116
out-acted	negative:-9.630037062331072	positive:-10.323184242891017
Camp	negative:-9.224604815989887	positive:-10.323217104657997
THINKING	negative:-8.936955604225226	positive:-10.323249965345116
legitimize	negative:-9.224604815989887	positive:-10.323217104657997
reversion	negative:-9.630037062331072	positive:-10.323184242891017
Utterly	negative:-9.224604815989887	positive:-10.323217104657997
Strung	negative:-9.630037062331072	positive:-10.323184242891017
Fiend	negative:-9.630037062331072	positive:-10.323184242891017
challenged	negative:-8.936988463832558	positive:-9.630135644392501
junkie	negative:-9.630037062331072	positive:-10.323184242891017
redeemed	negative:-9.630069924098052	positive:-9.630069924098052
narcotics	negative:-9.630037062331072	positive:-10.323184242891017
narcotic	negative:-9.630037062331072	positive:-10.323184242891017
1.3/10	negative:-9.630037062331072	positive:-10.323184242891017
bodies.	negative:-9.630037062331072	positive:-10.323184242891017
docu-drama	negative:-9.630037062331072	positive:-10.323184242891017
disgusting.	negative:-9.630037062331072	positive:-10.323184242891017
wagon.	negative:-9.630069924098052	positive:-9.630069924098052
201	negative:-9.630037062331072	positive:-10.323184242891017
maven	negative:-9.630037062331072	positive:-10.323184242891017
Streetcar	negative:-9.630037062331072	positive:-10.323184242891017
arthouse	negative:-9.630037062331072	positive:-10.323184242891017
dwarfed	negative:-9.630102784785171	positive:-9.224637676677007
crapola	negative:-9.630037062331072	positive:-10.323184242891017
Detective	negative:-9.224637676677007	positive:-9.630102784785171
claptrap	negative:-9.224604815989887	positive:-10.323217104657997
winners	negative:-9.630069924098052	positive:-9.630069924098052
competition	negative:-8.937152745674855	positive:-8.377536957739432
melange	negative:-9.224604815989887	positive:-10.323217104657997
Named	negative:-9.630037062331072	positive:-10.323184242891017
Place	negative:-9.630102784785171	positive:-9.224637676677007
overpraised	negative:-9.224604815989887	positive:-10.323217104657997
1951	negative:-9.630037062331072	positive:-10.323184242891017
Desire	negative:-9.224637676677007	positive:-9.630102784785171
'51	negative:-9.630037062331072	positive:-10.323184242891017
Overrated	negative:-9.630037062331072	positive:-10.323184242891017
Whew	negative:-10.323184242891017	positive:-9.630037062331072
Phranc	negative:-10.323184242891017	positive:-9.630037062331072
Kind	negative:-10.323249965345116	positive:-8.936955604225226
16/month	negative:-10.323184242891017	positive:-9.630037062331072
indulgence	negative:-10.323184242891017	positive:-9.630037062331072
Flag	negative:-10.323184242891017	positive:-9.630037062331072
POV	negative:-10.323184242891017	positive:-9.630037062331072
Wave	negative:-10.323184242891017	positive:-9.630037062331072
punk	negative:-10.323217104657997	positive:-9.224604815989887
dickens	negative:-10.323184242891017	positive:-9.630037062331072
Spheeris	negative:-10.323184242891017	positive:-9.630037062331072
illumination	negative:-10.323184242891017	positive:-9.630037062331072
former-church	negative:-10.323184242891017	positive:-9.630037062331072
unheard	negative:-10.323184242891017	positive:-9.630037062331072
Discipline	negative:-10.323184242891017	positive:-9.630037062331072
burgeoning	negative:-10.323184242891017	positive:-9.630037062331072
Zone	negative:-10.323249965345116	positive:-8.936955604225226
maniac	negative:-10.323184242891017	positive:-9.630037062331072
alluded	negative:-9.630069924098052	positive:-9.630069924098052
TONS	negative:-10.323184242891017	positive:-9.630037062331072
sober	negative:-9.224670536284338	positive:-9.224670536284338
subliminally	negative:-10.323184242891017	positive:-9.630037062331072
whiile	negative:-10.323184242891017	positive:-9.630037062331072
overtly	negative:-10.323184242891017	positive:-9.630037062331072
warm.	negative:-10.323184242891017	positive:-9.630037062331072
Charleston	negative:-9.630037062331072	positive:-10.323184242891017
ultra-swanky	negative:-9.630037062331072	positive:-10.323184242891017
1920s	negative:-9.630037062331072	positive:-10.323184242891017
yachts	negative:-9.630037062331072	positive:-10.323184242891017
fought	negative:-9.630102784785171	positive:-9.224637676677007
50-year	negative:-10.323184242891017	positive:-9.630037062331072
zeroes	negative:-10.323184242891017	positive:-9.630037062331072
cessation	negative:-10.323184242891017	positive:-9.630037062331072
surfers	negative:-10.323217104657997	positive:-9.224604815989887
surfer	negative:-10.323217104657997	positive:-9.224604815989887
Surfing	negative:-10.323184242891017	positive:-9.630037062331072
Super-surfer	negative:-10.323184242891017	positive:-9.630037062331072
beer-stand	negative:-10.323184242891017	positive:-9.630037062331072
goofiness	negative:-10.323184242891017	positive:-9.630037062331072
Ph.d	negative:-10.323184242891017	positive:-9.630037062331072
conquer	negative:-9.630069924098052	positive:-9.630069924098052
Surfers	negative:-10.323184242891017	positive:-9.630037062331072
surfboard	negative:-10.323184242891017	positive:-9.630037062331072
war-instead	negative:-10.323184242891017	positive:-9.630037062331072
approaches	negative:-10.323217104657997	positive:-9.224604815989887
aesthetic	negative:-10.323184242891017	positive:-9.630037062331072
exhalation	negative:-10.323184242891017	positive:-9.630037062331072
hot-war	negative:-10.323184242891017	positive:-9.630037062331072
celebrates	negative:-10.323217104657997	positive:-9.224604815989887
boatload	negative:-10.323184242891017	positive:-9.630037062331072
test-pilots	negative:-10.323184242891017	positive:-9.630037062331072
celebrate	negative:-10.323249965345116	positive:-8.936955604225226
surfing	negative:-10.323249965345116	positive:-8.936955604225226
beach-head	negative:-10.323184242891017	positive:-9.630037062331072
down-time	negative:-10.323184242891017	positive:-9.630037062331072
Noll	negative:-10.323184242891017	positive:-9.630037062331072
socialists	negative:-10.323184242891017	positive:-9.630037062331072
gift	negative:-8.937152745674855	positive:-8.377536957739432
Hawaiian	negative:-10.323184242891017	positive:-9.630037062331072
Cary	negative:-9.224670536284338	positive:-9.224670536284338
blackboard	negative:-9.630037062331072	positive:-10.323184242891017
lisp	negative:-9.630037062331072	positive:-10.323184242891017
uncharming	negative:-9.630037062331072	positive:-10.323184242891017
Betsy	negative:-9.224637676677007	positive:-9.630102784785171
memorized	negative:-9.224670536284338	positive:-9.224670536284338
treat.	negative:-9.630037062331072	positive:-10.323184242891017
Seeing	negative:-8.937087036176523	positive:-8.713943484862313
nosedives	negative:-9.630037062331072	positive:-10.323184242891017
threadbare	negative:-9.630069924098052	positive:-9.630069924098052
harbor	negative:-10.323184242891017	positive:-9.630037062331072
interplanetary	negative:-10.323184242891017	positive:-9.630037062331072
Pixar	negative:-10.323217104657997	positive:-9.224604815989887
Excellent	negative:-10.32331568348006	positive:-8.531556214252005
abstract	negative:-10.323184242891017	positive:-9.630037062331072
microbe	negative:-10.323217104657997	positive:-9.224604815989887
CASTAWAY	negative:-10.323184242891017	positive:-9.630037062331072
prose	negative:-9.630069924098052	positive:-9.630069924098052
Sapkowski	negative:-9.630037062331072	positive:-10.323184242891017
any.	negative:-9.630037062331072	positive:-10.323184242891017
2h	negative:-9.630037062331072	positive:-10.323184242891017
ABSOLUTELY	negative:-10.323184242891017	positive:-9.630037062331072
disability	negative:-10.323184242891017	positive:-9.630037062331072
BEAN	negative:-10.323184242891017	positive:-9.630037062331072
suitable	negative:-10.323217104657997	positive:-9.224604815989887
FABOULOUS	negative:-10.323184242891017	positive:-9.630037062331072
arising	negative:-10.323184242891017	positive:-9.630037062331072
forgotten.	negative:-10.323184242891017	positive:-9.630037062331072
Bean	negative:-9.630102784785171	positive:-9.224637676677007
websites	negative:-9.224637676677007	positive:-9.630102784785171
U-rated	negative:-10.323184242891017	positive:-9.630037062331072
1990s	negative:-9.630069924098052	positive:-9.630069924098052
reassuring.	negative:-10.323184242891017	positive:-9.630037062331072
GRAVE	negative:-9.630069924098052	positive:-9.630069924098052
dentist	negative:-9.224637676677007	positive:-9.630102784785171
THIN	negative:-10.323184242891017	positive:-9.630037062331072
surroundings	negative:-9.630135644392501	positive:-8.936988463832558
preparing	negative:-9.630135644392501	positive:-8.936988463832558
difficulties	negative:-9.224637676677007	positive:-9.630102784785171
translate	negative:-10.323184242891017	positive:-9.630037062331072
creations	negative:-10.323249965345116	positive:-8.936955604225226
resolve.	negative:-10.323184242891017	positive:-9.630037062331072
BRITTAS	negative:-10.323184242891017	positive:-9.630037062331072
out-of-character	negative:-10.323184242891017	positive:-9.630037062331072
completing	negative:-9.630069924098052	positive:-9.630069924098052
Atkinson.	negative:-10.323184242891017	positive:-9.630037062331072
EMPIRE	negative:-10.323184242891017	positive:-9.630037062331072
boards	negative:-10.323282824952447	positive:-8.713844912518347
Returning	negative:-10.323217104657997	positive:-9.224604815989887
pale	negative:-10.323217104657997	positive:-9.224604815989887
BADLY	negative:-10.323184242891017	positive:-9.630037062331072
nonetheless.	negative:-10.323184242891017	positive:-9.630037062331072
derives	negative:-10.323184242891017	positive:-9.630037062331072
behaving	negative:-10.323184242891017	positive:-9.630037062331072
re-use	negative:-9.630069924098052	positive:-9.630069924098052
BEHAVING	negative:-10.323184242891017	positive:-9.630037062331072
BLUE	negative:-10.323184242891017	positive:-9.630037062331072
1990s.	negative:-10.323184242891017	positive:-9.630037062331072
FOOT	negative:-10.323184242891017	positive:-9.630037062331072
greats	negative:-10.323184242891017	positive:-9.630037062331072
inoffensive	negative:-9.630069924098052	positive:-9.630069924098052
HOLIDAY	negative:-10.323184242891017	positive:-9.630037062331072
day-to-day	negative:-9.630069924098052	positive:-9.630069924098052
outcomes	negative:-10.323184242891017	positive:-9.630037062331072
spin-off	negative:-10.323184242891017	positive:-9.630037062331072
felt.	negative:-10.323217104657997	positive:-9.224604815989887
wide-screen	negative:-9.630037062331072	positive:-10.323184242891017
warming	negative:-9.224604815989887	positive:-10.323217104657997
plasma	negative:-9.630037062331072	positive:-10.323184242891017
relates	negative:-9.224637676677007	positive:-9.630102784785171
wheelchair-bound	negative:-9.630037062331072	positive:-10.323184242891017
'so	negative:-9.630069924098052	positive:-9.630069924098052
flat-screen	negative:-9.630037062331072	positive:-10.323184242891017
mean.	negative:-8.936988463832558	positive:-9.630135644392501
heads-up	negative:-9.630037062331072	positive:-10.323184242891017
'very	negative:-9.630037062331072	positive:-10.323184242891017
irks	negative:-9.630069924098052	positive:-9.630069924098052
Telling	negative:-9.630037062331072	positive:-10.323184242891017
nicer	negative:-9.630069924098052	positive:-9.630069924098052
televisions	negative:-9.630037062331072	positive:-10.323184242891017
Makeover	negative:-9.630037062331072	positive:-10.323184242891017
out-for-ratings	negative:-9.630037062331072	positive:-10.323184242891017
Edition	negative:-9.630037062331072	positive:-10.323184242891017
'heart	negative:-9.630037062331072	positive:-10.323184242891017
'feel-goody	negative:-9.630037062331072	positive:-10.323184242891017
inground	negative:-9.630037062331072	positive:-10.323184242891017
Pennington	negative:-9.630037062331072	positive:-10.323184242891017
neighborhood.	negative:-9.630037062331072	positive:-10.323184242891017
Ty	negative:-9.630037062331072	positive:-10.323184242891017
BIT	negative:-9.630037062331072	positive:-10.323184242891017
Extreme	negative:-9.630069924098052	positive:-9.630069924098052
excessive	negative:-9.630037062331072	positive:-10.323184242891017
backyard	negative:-9.224604815989887	positive:-10.323217104657997
desktop	negative:-9.630037062331072	positive:-10.323184242891017
Laurence	negative:-9.630102784785171	positive:-9.224637676677007
imagine.	negative:-9.630102784785171	positive:-9.224637676677007
thirteen	negative:-9.224637676677007	positive:-9.630102784785171
exams	negative:-10.323184242891017	positive:-9.630037062331072
PRECIOUS	negative:-9.630037062331072	positive:-10.323184242891017
ex-Jew	negative:-9.630037062331072	positive:-10.323184242891017
atheists	negative:-9.630037062331072	positive:-10.323184242891017
scrolls	negative:-9.630037062331072	positive:-10.323184242891017
SEAL	negative:-9.630037062331072	positive:-10.323184242891017
Jews	negative:-9.630069924098052	positive:-9.630069924098052
hoax	negative:-8.936955604225226	positive:-10.323249965345116
specially	negative:-9.224670536284338	positive:-9.224670536284338
tryout	negative:-9.630037062331072	positive:-10.323184242891017
carved	negative:-9.630069924098052	positive:-9.630069924098052
ONLY	negative:-9.224637676677007	positive:-9.630102784785171
atheistic	negative:-9.630037062331072	positive:-10.323184242891017
catholics	negative:-9.630037062331072	positive:-10.323184242891017
sealed	negative:-9.630069924098052	positive:-9.630069924098052
documentary-scam	negative:-9.630037062331072	positive:-10.323184242891017
DIRECTION	negative:-9.630037062331072	positive:-10.323184242891017
SCRIPT	negative:-9.630037062331072	positive:-10.323184242891017
Judas	negative:-9.630037062331072	positive:-10.323184242891017
trustworthy	negative:-9.630069924098052	positive:-9.630069924098052
accusations	negative:-9.630037062331072	positive:-10.323184242891017
Buddhists	negative:-9.630037062331072	positive:-10.323184242891017
Contain	negative:-9.630037062331072	positive:-10.323184242891017
valors	negative:-9.630037062331072	positive:-10.323184242891017
CG	negative:-10.323184242891017	positive:-9.630037062331072
mid-film	negative:-10.323184242891017	positive:-9.630037062331072
cub	negative:-10.323184242891017	positive:-9.630037062331072
youngsters.	negative:-10.323184242891017	positive:-9.630037062331072
sceptical	negative:-10.323249965345116	positive:-8.936955604225226
semi-sequel	negative:-10.323184242891017	positive:-9.630037062331072
Hakuna	negative:-10.323184242891017	positive:-9.630037062331072
kid-	negative:-10.323184242891017	positive:-9.630037062331072
Simba	negative:-10.323184242891017	positive:-9.630037062331072
Toy	negative:-10.323184242891017	positive:-9.630037062331072
roots	negative:-10.323217104657997	positive:-9.224604815989887
Lion	negative:-10.323249965345116	positive:-8.936955604225226
much-loved	negative:-10.323184242891017	positive:-9.630037062331072
Timone	negative:-10.323184242891017	positive:-9.630037062331072
Matata.	negative:-10.323184242891017	positive:-9.630037062331072
shifting	negative:-9.630069924098052	positive:-9.630069924098052
Pumba	negative:-10.323184242891017	positive:-9.630037062331072
FROST	negative:-10.323184242891017	positive:-9.630037062331072
Changing	negative:-10.323184242891017	positive:-9.630037062331072
Jacklings	negative:-10.323184242891017	positive:-9.630037062331072
wider	negative:-10.323217104657997	positive:-9.224604815989887
Begin	negative:-9.630069924098052	positive:-9.630069924098052
tropical	negative:-10.323184242891017	positive:-9.630037062331072
Jacks	negative:-10.323184242891017	positive:-9.630037062331072
STARS	negative:-10.323184242891017	positive:-9.630037062331072
snow-monster	negative:-10.323184242891017	positive:-9.630037062331072
JACK	negative:-10.323184242891017	positive:-9.630037062331072
welcomed	negative:-10.323184242891017	positive:-9.630037062331072
improvise	negative:-10.323184242891017	positive:-9.630037062331072
teenie	negative:-9.630069924098052	positive:-9.630069924098052
boppers	negative:-10.323184242891017	positive:-9.630037062331072
beans	negative:-10.323184242891017	positive:-9.630037062331072
canned	negative:-10.323184242891017	positive:-9.630037062331072
virtuosity	negative:-10.323184242891017	positive:-9.630037062331072
jelly	negative:-10.323184242891017	positive:-9.630037062331072
settled	negative:-9.630102784785171	positive:-9.224637676677007
10.	negative:-9.224604815989887	positive:-10.323217104657997
R.E.S.P.E.C.T	negative:-9.630037062331072	positive:-10.323184242891017
stooping	negative:-9.630037062331072	positive:-10.323184242891017
glitches	negative:-9.630037062331072	positive:-10.323184242891017
Criminally	negative:-9.630037062331072	positive:-10.323184242891017
Recycles	negative:-9.630037062331072	positive:-10.323184242891017
Ethel	negative:-9.630037062331072	positive:-10.323184242891017
Insane	negative:-9.630037062331072	positive:-10.323184242891017
wants.	negative:-9.630037062331072	positive:-10.323184242891017
upsetting	negative:-9.630069924098052	positive:-9.630069924098052
Trejo	negative:-9.630037062331072	positive:-10.323184242891017
Chiropractor	negative:-10.323184242891017	positive:-9.630037062331072
Technology	negative:-10.323184242891017	positive:-9.630037062331072
'come	negative:-10.323184242891017	positive:-9.630037062331072
inexpensive	negative:-10.323184242891017	positive:-9.630037062331072
Gwynn	negative:-10.323184242891017	positive:-9.630037062331072
'heavy	negative:-10.323184242891017	positive:-9.630037062331072
Twins	negative:-10.323184242891017	positive:-9.630037062331072
6.99	negative:-10.323184242891017	positive:-9.630037062331072
Identical	negative:-10.323184242891017	positive:-9.630037062331072
Information	negative:-10.323184242891017	positive:-9.630037062331072
nominee	negative:-9.630102784785171	positive:-9.224637676677007
Madness	negative:-10.323217104657997	positive:-9.224604815989887
Georgia.	negative:-10.323184242891017	positive:-9.630037062331072
latch-key-kids	negative:-10.323184242891017	positive:-9.630037062331072
Sincerely	negative:-10.323184242891017	positive:-9.630037062331072
Lynn	negative:-9.630069924098052	positive:-9.630069924098052
Twin	negative:-9.630069924098052	positive:-9.630069924098052
Burbank	negative:-10.323184242891017	positive:-9.630037062331072
others.	negative:-10.323217104657997	positive:-9.224604815989887
exited	negative:-10.323184242891017	positive:-9.630037062331072
Kmart	negative:-10.323184242891017	positive:-9.630037062331072
LOT	negative:-10.323249965345116	positive:-8.936955604225226
crop	negative:-10.323217104657997	positive:-9.224604815989887
care.	negative:-9.630102784785171	positive:-9.224637676677007
lumpy	negative:-9.224604815989887	positive:-10.323217104657997
blobs	negative:-9.630037062331072	positive:-10.323184242891017
overwrought	negative:-9.630037062331072	positive:-10.323184242891017
firefighting	negative:-9.630037062331072	positive:-10.323184242891017
'Goddammit	negative:-9.630037062331072	positive:-10.323184242891017
slo-mo	negative:-9.224604815989887	positive:-10.323217104657997
gracelessly	negative:-9.630037062331072	positive:-10.323184242891017
mono-expression	negative:-9.630037062331072	positive:-10.323184242891017
runtime	negative:-9.224604815989887	positive:-10.323217104657997
posturing	negative:-9.630069924098052	positive:-9.630069924098052
forward.	negative:-10.323184242891017	positive:-9.630037062331072
illustrates	negative:-10.323249965345116	positive:-8.936955604225226
reccoment	negative:-10.323184242891017	positive:-9.630037062331072
characters.	negative:-9.630069924098052	positive:-9.630069924098052
Dhupia	negative:-10.323184242891017	positive:-9.630037062331072
future.	negative:-9.630102784785171	positive:-9.224637676677007
int	negative:-10.323184242891017	positive:-9.630037062331072
Neha	negative:-10.323184242891017	positive:-9.630037062331072
funny.Both	negative:-10.323184242891017	positive:-9.630037062331072
Akshay	negative:-10.323184242891017	positive:-9.630037062331072
disbelieving	negative:-9.224604815989887	positive:-10.323217104657997
Queenie	negative:-9.630037062331072	positive:-10.323184242891017
clashing	negative:-9.630037062331072	positive:-10.323184242891017
Shockingly	negative:-9.630037062331072	positive:-10.323184242891017
outragous	negative:-9.630037062331072	positive:-10.323184242891017
brazeness	negative:-9.630037062331072	positive:-10.323184242891017
enchants	negative:-9.630037062331072	positive:-10.323184242891017
Lopez	negative:-10.323184242891017	positive:-9.630037062331072
stereo	negative:-10.323184242891017	positive:-9.630037062331072
Latinos	negative:-10.323184242891017	positive:-9.630037062331072
¡Gracias	negative:-10.323184242891017	positive:-9.630037062331072
touchy	negative:-10.323184242891017	positive:-9.630037062331072
Señor	negative:-10.323184242891017	positive:-9.630037062331072
mother-daughter	negative:-9.630037062331072	positive:-10.323184242891017
cheesey	negative:-9.630069924098052	positive:-9.630069924098052
Nuts	negative:-9.630037062331072	positive:-10.323184242891017
Trainspotting	negative:-8.936955604225226	positive:-10.323249965345116
Towards	negative:-9.224604815989887	positive:-10.323217104657997
existance	negative:-9.630037062331072	positive:-10.323184242891017
dispute	negative:-9.630037062331072	positive:-10.323184242891017
fossil	negative:-9.630069924098052	positive:-9.630069924098052
understatement	negative:-8.936955604225226	positive:-10.323249965345116
3/4	negative:-9.630069924098052	positive:-9.630069924098052
grazing	negative:-9.630037062331072	positive:-10.323184242891017
dosing	negative:-9.630037062331072	positive:-10.323184242891017
bushes	negative:-9.630037062331072	positive:-10.323184242891017
soon-to-be	negative:-9.630037062331072	positive:-10.323184242891017
boresome	negative:-9.630037062331072	positive:-10.323184242891017
songwriters	negative:-9.630037062331072	positive:-10.323184242891017
incensed	negative:-9.630037062331072	positive:-10.323184242891017
hellraiser	negative:-9.630037062331072	positive:-10.323184242891017
histerical	negative:-9.630037062331072	positive:-10.323184242891017
vegetarianism	negative:-9.630037062331072	positive:-10.323184242891017
proud.	negative:-9.630037062331072	positive:-10.323184242891017
AWFUL	negative:-9.224604815989887	positive:-10.323217104657997
merciful	negative:-9.630037062331072	positive:-10.323184242891017
GOD	negative:-9.224604815989887	positive:-10.323217104657997
quarry	negative:-9.224604815989887	positive:-10.323217104657997
SUMMARY	negative:-9.630037062331072	positive:-10.323184242891017
Anglos	negative:-9.630037062331072	positive:-10.323184242891017
unintensional	negative:-9.630037062331072	positive:-10.323184242891017
God.	negative:-9.630037062331072	positive:-10.323184242891017
reason.	negative:-9.224604815989887	positive:-10.323217104657997
hugging	negative:-9.630037062331072	positive:-10.323184242891017
Sing	negative:-9.630037062331072	positive:-10.323184242891017
doing.To	negative:-9.630037062331072	positive:-10.323184242891017
Assault	negative:-9.224604815989887	positive:-10.323217104657997
Z'dar	negative:-9.630037062331072	positive:-10.323184242891017
freakish-looking	negative:-9.630037062331072	positive:-10.323184242891017
MST3K-style	negative:-9.630037062331072	positive:-10.323184242891017
hilarity	negative:-9.630135644392501	positive:-8.936988463832558
Communist	negative:-9.630069924098052	positive:-9.630069924098052
Prior	negative:-9.630069924098052	positive:-9.630069924098052
Becker	negative:-9.630037062331072	positive:-10.323184242891017
top-secret	negative:-9.630037062331072	positive:-10.323184242891017
BUY	negative:-9.630037062331072	positive:-10.323184242891017
summoned	negative:-9.630037062331072	positive:-10.323184242891017
Jungle	negative:-9.224604815989887	positive:-10.323217104657997
solution	negative:-8.937152745674855	positive:-8.377536957739432
beers	negative:-8.936955604225226	positive:-10.323249965345116
Sanction	negative:-9.630037062331072	positive:-10.323184242891017
eviction.	negative:-9.630037062331072	positive:-10.323184242891017
all-American	negative:-9.630037062331072	positive:-10.323184242891017
premises	negative:-9.630069924098052	positive:-9.630069924098052
Manly	negative:-9.630037062331072	positive:-10.323184242891017
Aerobicide	negative:-9.630037062331072	positive:-10.323184242891017
War-era	negative:-9.630037062331072	positive:-10.323184242891017
commandos	negative:-9.630037062331072	positive:-10.323184242891017
Workout	negative:-9.630037062331072	positive:-10.323184242891017
Delon	negative:-10.323184242891017	positive:-9.630037062331072
figment	negative:-10.323184242891017	positive:-9.630037062331072
loner	negative:-9.224670536284338	positive:-9.224670536284338
Vendome	negative:-10.323184242891017	positive:-9.630037062331072
Corey	negative:-10.323184242891017	positive:-9.630037062331072
Rouge	negative:-9.630069924098052	positive:-9.630069924098052
rueful	negative:-10.323184242891017	positive:-9.630037062331072
Buddha	negative:-10.323184242891017	positive:-9.630037062331072
inform	negative:-8.936988463832558	positive:-9.630135644392501
Samourai	negative:-10.323184242891017	positive:-9.630037062331072
probable	negative:-10.323184242891017	positive:-9.630037062331072
affectionately	negative:-10.323184242891017	positive:-9.630037062331072
Cory	negative:-9.630069924098052	positive:-9.630069924098052
